20.07.202011:21:34;5651438;3693454;3803646;5441008;3197264;3270730;0;0;;
20.07.202011:21:35;5651466;3693501;3803593;5440922;3197246;3270770;1;0;;
20.07.202011:21:36;5651442;3693533;3803715;5441014;3197302;3270721;2;0;;
20.07.202011:21:37;5651412;3693553;3803731;5440971;3197270;3270758;3;0;;
20.07.202011:21:38;5651477;3693522;3803598;5440854;3197219;3270756;4;0;;
20.07.202011:21:39;5651478;3693454;3803630;5441004;3197220;3270752;5;0;;
20.07.202011:21:40;5651407;3693558;3803589;5440895;3197251;3270699;6;0;;
20.07.202011:21:41;5651544;3693528;3803628;5440868;3197291;3270689;7;0;;
20.07.202011:21:42;5651407;3693513;3803701;5440856;3197290;3270728;8;0;;
20.07.202011:21:43;5651442;3693480;3803678;5441063;3197212;3270774;9;0;;
20.07.202011:21:44;5651448;3693513;3803618;5440975;3197192;3270759;10;0;;
20.07.202011:21:45;5651393;3693454;3803708;5440844;3197251;3270737;11;0;;
20.07.202011:21:46;5651463;3693429;3803673;5440781;3197281;3270736;12;0;;
20.07.202011:21:47;5651515;3693507;3803598;5440915;3197277;3270809;13;0;;
20.07.202011:21:48;5651303;3693562;3803565;5440923;3197343;3270823;14;0;;
20.07.202011:21:49;5651737;3693462;3803607;5440901;3197294;3270746;15;0;;
20.07.202011:21:50;5651642;3693476;3803495;5440905;3197250;3270775;16;0;;
20.07.202011:21:51;5651578;3693592;3803534;5440955;3197271;3270757;17;0;;
20.07.202011:21:52;5651484;3693593;3803503;5441015;3197290;3270743;18;0;;
20.07.202011:21:53;5651455;3693460;3803587;5440977;3197227;3270780;19;0;;
20.07.202011:21:54;5651504;3693469;3803632;5440952;3197274;3270740;20;0;;
20.07.202011:21:55;5651346;3693479;3803590;5440905;3197295;3270784;21;0;;
20.07.202011:21:56;5651451;3693537;3803452;5440972;3197258;3270788;22;0;;
20.07.202011:21:57;5651465;3693499;3803593;5440935;3197254;3270738;23;0;;
20.07.202011:21:58;5651378;3693526;3803574;5440990;3197241;3270739;24;0;;
20.07.202011:21:59;5651419;3693462;3803564;5440883;3197253;3270754;25;0;;
20.07.202011:22:00;5651547;3693557;3803574;5440977;3197255;3270754;26;0;;
20.07.202011:22:01;5651506;3693401;3803610;5440999;3197286;3270680;27;0;;
20.07.202011:22:02;5651443;3693453;3803619;5440894;3197244;3270671;28;0;;
20.07.202011:22:03;5651523;3693454;3803566;5440992;3197243;3270694;29;0;;
20.07.202011:22:04;5651512;3693469;3803625;5441090;3197246;3270700;30;0;;
20.07.202011:22:05;5651503;3693497;3803608;5441065;3197278;3270708;31;0;;
20.07.202011:22:06;5651523;3693444;3803610;5440891;3197219;3270774;32;0;;
