20.07.202011:42:20;6610776;4344388;4592225;6078032;3197924;3271425;0;0;;
20.07.202011:42:21;6610906;4344369;4592202;6077954;3197948;3271430;1;0;;
20.07.202011:42:22;6610962;4344335;4591918;6077827;3197953;3271451;2;0;;
20.07.202011:42:23;6610757;4344313;4592112;6077894;3197919;3271493;3;0;;
20.07.202011:42:24;6610796;4344329;4592261;6077831;3197924;3271397;4;0;;
20.07.202011:42:25;6610855;4344357;4592133;6077973;3197883;3271441;5;0;;
20.07.202011:42:26;6610824;4344487;4592169;6077917;3197907;3271476;6;0;;
20.07.202011:42:27;6610925;4344409;4592145;6077942;3197929;3271452;7;0;;
20.07.202011:42:28;6610904;4344407;4592101;6077805;3197945;3271401;8;0;;
20.07.202011:42:29;6610843;4344344;4592192;6077853;3197877;3271436;9;0;;
20.07.202011:42:30;6610962;4344369;4592107;6077811;3197937;3271456;10;0;;
20.07.202011:42:31;6610787;4344414;4592029;6077950;3197957;3271450;11;0;;
20.07.202011:42:32;6610820;4344470;4592104;6077934;3197930;3271503;12;0;;
20.07.202011:42:33;6610719;4344509;4592185;6077938;3197949;3271494;13;0;;
20.07.202011:42:34;6610801;4344450;4592264;6077972;3197936;3271481;14;0;;
20.07.202011:42:35;6610818;4344421;4592067;6077887;3197972;3271405;15;0;;
20.07.202011:42:36;6610757;4344467;4592195;6077845;3197969;3271459;16;0;;
20.07.202011:42:37;6610841;4344428;4592259;6077822;3197953;3271456;17;0;;
20.07.202011:42:38;6610897;4344474;4592051;6077931;3197982;3271541;18;0;;
20.07.202011:42:39;6610899;4344405;4592041;6077816;3197884;3271471;19;0;;
20.07.202011:42:40;6610848;4344469;4592017;6078018;3197805;3271435;20;0;;
20.07.202011:42:41;6610836;4344541;4592156;6077879;3197944;3271462;21;0;;
20.07.202011:42:42;6610846;4344523;4592173;6077891;3197937;3271447;22;0;;
20.07.202011:42:43;6610847;4344503;4592148;6077930;3197932;3271454;23;0;;
20.07.202011:42:44;6610872;4344485;4592125;6077925;3197947;3271499;24;0;;
20.07.202011:42:45;6610886;4344451;4592110;6077943;3197989;3271425;25;0;;
20.07.202011:42:46;6610829;4344402;4592129;6077931;3197961;3271457;26;0;;
20.07.202011:42:47;6610767;4344532;4592131;6077958;3197953;3271447;27;0;;
20.07.202011:42:48;6610836;4344536;4592046;6077887;3197948;3271494;28;0;;
20.07.202011:42:49;6610957;4344419;4592088;6077920;3197879;3271475;29;0;;
20.07.202011:42:50;6610710;4344525;4592137;6077943;3197917;3271475;30;0;;
20.07.202011:42:51;6610815;4344609;4592175;6077872;3198024;3271500;31;0;;
20.07.202011:42:52;6610856;4344483;4592097;6077891;3197990;3271432;32;0;;
20.07.202011:42:53;6610869;4344481;4592162;6077940;3197956;3271398;33;0;;
20.07.202011:42:54;6610809;4344484;4592120;6077889;3197931;3271405;34;0;;
