20.07.202014:07:25;10198857;6996618;7853095;8732217;3194930;3270636;0;0;;
20.07.202014:07:26;10198344;6997326;7851453;8731735;3194982;3270540;1;0;;
20.07.202014:07:27;10198163;6996503;7853657;8731893;3194907;3270525;2;0;;
20.07.202014:07:28;10198478;6997007;7852101;8731560;3194875;3270558;3;0;;
20.07.202014:07:29;10198014;6996588;7853463;8731896;3194949;3270601;4;0;;
20.07.202014:07:30;10198403;6996819;7852529;8731746;3194983;3270625;5;0;;
20.07.202014:07:31;10198255;6996665;7852872;8731811;3194976;3270661;6;0;;
20.07.202014:07:32;10198381;6996673;7852756;8731782;3194919;3270669;7;0;;
20.07.202014:07:33;10198379;6996631;7852957;8731931;3194898;3270657;8;0;;
20.07.202014:07:34;10198397;6996784;7852462;8731862;3194962;3270539;9;0;;
20.07.202014:07:35;10198441;6996542;7852925;8731985;3195046;3270579;10;0;;
20.07.202014:07:36;10198463;6996577;7852586;8731873;3194981;3270650;11;0;;
20.07.202014:07:37;10198468;6996519;7852794;8731986;3194979;3270673;12;0;;
20.07.202014:07:38;10198537;6996649;7852490;8732020;3194972;3270588;13;0;;
20.07.202014:07:39;10198509;6996451;7852753;8731987;3194983;3270597;14;0;;
20.07.202014:07:40;10198519;6996502;7852534;8731925;3194969;3270661;15;0;;
20.07.202014:07:41;10198531;6996659;7852568;8731968;3194943;3270667;16;0;;
20.07.202014:07:42;10198473;6996444;7852946;8731928;3195001;3270626;17;0;;
20.07.202014:07:43;10198574;6996505;7852282;8731921;3195008;3270583;18;0;;
20.07.202014:07:44;10198417;6996407;7852661;8732138;3194970;3270604;19;0;;
20.07.202014:07:45;10198533;6996517;7852477;8732082;3194978;3270546;20;0;;
20.07.202014:07:46;10198546;6996488;7852604;8732138;3194934;3270602;21;0;;
20.07.202014:07:47;10198567;6996395;7852573;8732032;3195006;3270672;22;0;;
20.07.202014:07:48;10198558;6996332;7852739;8732063;3194925;3270690;23;0;;
20.07.202014:07:49;10198649;6996309;7852561;8732002;3194938;3270700;24;0;;
20.07.202014:07:50;10198563;6996363;7852606;8732160;3194948;3270646;25;0;;
20.07.202014:07:51;10198561;6996270;7852591;8732141;3194970;3270667;26;0;;
20.07.202014:07:52;10198675;6996294;7852557;8732135;3194968;3270679;27;0;;
20.07.202014:07:53;10198729;6996350;7852444;8732098;3194969;3270608;28;0;;
20.07.202014:07:54;10198642;6996309;7852541;8732136;3194993;3270621;29;0;;
20.07.202014:07:55;10198578;6996290;7852520;8732064;3195023;3270625;30;0;;
20.07.202014:07:56;10198638;6996309;7852512;8732156;3195032;3270641;31;0;;
20.07.202014:07:57;10198697;6996363;7852462;8732041;3194989;3270624;32;0;;
20.07.202014:07:58;10198721;6996329;7852576;8732130;3194976;3270620;33;0;;
20.07.202014:07:59;10198696;6996199;7852479;8732163;3195015;3270632;34;0;;
20.07.202014:08:00;10198739;6996310;7852281;8732029;3195005;3270705;35;0;;
20.07.202014:08:01;10198723;6996308;7852506;8732090;3195037;3270639;36;0;;
20.07.202014:08:02;10198775;6996240;7852413;8732245;3195000;3270577;37;0;;
20.07.202014:08:03;10198722;6996319;7852439;8732206;3194978;3270571;38;0;;
20.07.202014:08:04;10198713;6996213;7852404;8732243;3194981;3270605;39;0;;
20.07.202014:08:05;10198823;6996189;7852397;8732271;3194985;3270634;40;0;;
20.07.202014:08:06;10198823;6996179;7852400;8732241;3194985;3270636;41;0;;
20.07.202014:08:07;10198840;6996253;7852395;8732243;3194951;3270616;42;0;;
20.07.202014:08:08;10198790;6996133;7852442;8732288;3195073;3270596;43;0;;
20.07.202014:08:09;10198801;6996195;7852324;8732301;3195020;3270634;44;0;;
20.07.202014:08:10;10198783;6996168;7852357;8732301;3194985;3270586;45;0;;
20.07.202014:08:11;10198922;6996164;7852416;8732239;3194942;3270660;46;0;;
20.07.202014:08:12;10198862;6996150;7852352;8732196;3195038;3270648;47;0;;
20.07.202014:08:13;10198858;6996195;7852325;8732339;3195008;3270631;48;0;;
20.07.202014:08:14;10198858;6996036;7852444;8732349;3194964;3270636;49;0;;
20.07.202014:08:15;10198943;6996120;7852207;8732277;3194986;3270602;50;0;;
20.07.202014:08:16;10198905;6996030;7852251;8732319;3195023;3270679;51;0;;
20.07.202014:08:17;10198942;6996010;7852262;8732402;3194999;3270573;52;0;;
20.07.202014:08:18;10198883;6996059;7852326;8732341;3195017;3270607;53;0;;
20.07.202014:08:19;10198858;6996074;7852256;8732349;3194976;3270614;54;0;;
20.07.202014:08:20;10198820;6995992;7852313;8732338;3194988;3270587;55;0;;
20.07.202014:08:21;10198882;6996070;7852135;8732282;3195025;3270670;56;0;;
20.07.202014:08:22;10199007;6996097;7852262;8732309;3195016;3270678;57;0;;
20.07.202014:08:23;10198902;6996032;7852314;8732396;3194978;3270673;58;0;;
20.07.202014:08:24;10199026;6996040;7852191;8732365;3195017;3270646;59;0;;
20.07.202014:08:25;10199021;6996038;7852235;8732366;3195034;3270684;60;0;;
20.07.202014:08:26;10199070;6995967;7852293;8732411;3194991;3270613;61;0;;
20.07.202014:08:27;10198975;6996013;7852133;8732414;3194955;3270595;62;0;;
20.07.202014:08:28;10198953;6995969;7852207;8732372;3195007;3270637;63;0;;
20.07.202014:08:29;10198959;6995948;7852289;8732558;3195007;3270670;64;0;;
20.07.202014:08:30;10199055;6996020;7852127;8732363;3194972;3270653;65;0;;
20.07.202014:08:31;10199006;6996037;7852195;8732440;3195049;3270638;66;0;;
20.07.202014:08:32;10199035;6995943;7852152;8732462;3195030;3270618;67;0;;
20.07.202014:08:33;10198991;6995891;7852273;8732477;3195054;3270623;68;0;;
20.07.202014:08:34;10199004;6995970;7852128;8732384;3195046;3270599;69;0;;
20.07.202014:08:35;10198954;6995958;7852228;8732550;3195032;3270570;70;0;;
20.07.202014:08:36;10199029;6995872;7852097;8732448;3194993;3270602;71;0;;
20.07.202014:08:37;10198995;6995906;7852192;8732574;3195015;3270663;72;0;;
20.07.202014:08:38;10199074;6995933;7852078;8732412;3194978;3270679;73;0;;
20.07.202014:08:39;10199088;6995885;7852166;8732487;3194958;3270671;74;0;;
20.07.202014:08:40;10199104;6995904;7852014;8732541;3195030;3270643;75;0;;
20.07.202014:08:41;10199135;6995775;7852102;8732435;3195036;3270637;76;0;;
20.07.202014:08:42;10199028;6995956;7852024;8732446;3195008;3270677;77;0;;
20.07.202014:08:43;10199047;6995889;7852107;8732499;3195007;3270635;78;0;;
20.07.202014:08:44;10199084;6995930;7852137;8732530;3195061;3270598;79;0;;
20.07.202014:08:45;10199143;6995863;7852065;8732559;3195058;3270644;80;0;;
20.07.202014:08:46;10199148;6995862;7852110;8732534;3195051;3270673;81;0;;
20.07.202014:08:47;10199095;6995903;7852017;8732528;3195045;3270692;82;0;;
20.07.202014:08:48;10199110;6995868;7852201;8732550;3195076;3270659;83;0;;
20.07.202014:08:49;10199151;6995867;7852108;8732537;3194978;3270647;84;0;;
20.07.202014:08:50;10199128;6995835;7852147;8732614;3195012;3270697;85;0;;
20.07.202014:08:51;10199096;6995894;7852071;8732609;3195035;3270690;86;0;;
20.07.202014:08:52;10199203;6995845;7852070;8732577;3195018;3270666;87;0;;
