20.07.202014:24:16;10963954;7813098;8506283;9532499;3198517;3272374;0;0;;
20.07.202014:24:17;10963889;7813072;8506344;9532463;3198507;3272350;1;0;;
20.07.202014:24:18;10964040;7812777;8506024;9532533;3198544;3272339;2;0;;
20.07.202014:24:19;10964037;7813132;8506877;9532412;3198573;3272370;3;0;;
20.07.202014:24:20;10963999;7812848;8506059;9532536;3198557;3272323;4;0;;
20.07.202014:24:21;10964068;7812947;8506561;9532512;3198579;3272359;5;0;;
20.07.202014:24:22;10964178;7812784;8506100;9532410;3198584;3272374;6;0;;
20.07.202014:24:23;10963992;7812910;8506542;9532486;3198550;3272324;7;0;;
20.07.202014:24:24;10964122;7812810;8506267;9532412;3198497;3272340;8;0;;
20.07.202014:24:25;10964125;7812796;8506497;9532598;3198460;3272341;9;0;;
20.07.202014:24:26;10964112;7812779;8506396;9532513;3198503;3272325;10;0;;
20.07.202014:24:27;10964020;7812686;8506368;9532500;3198582;3272341;11;0;;
20.07.202014:24:28;10964073;7812711;8506373;9532534;3198567;3272343;12;0;;
20.07.202014:24:29;10964076;7812623;8506288;9532552;3198529;3272331;13;0;;
20.07.202014:24:30;10964214;7812718;8506397;9532452;3198466;3272320;14;0;;
20.07.202014:24:31;10964181;7812612;8506173;9532635;3198492;3272290;15;0;;
20.07.202014:24:32;10964193;7812680;8506435;9532507;3198450;3272343;16;0;;
20.07.202014:24:33;10964182;7812603;8506289;9532638;3198498;3272348;17;0;;
20.07.202014:24:34;10964257;7812614;8506325;9532693;3198472;3272357;18;0;;
20.07.202014:24:35;10964125;7812450;8506063;9532656;3198495;3272382;19;0;;
20.07.202014:24:36;10964317;7812635;8506526;9532417;3198551;3272346;20;0;;
20.07.202014:24:37;10964191;7812619;8506234;9532548;3198537;3272387;21;0;;
20.07.202014:24:38;10964164;7812466;8505996;9532575;3198517;3272406;22;0;;
20.07.202014:24:39;10964250;7812571;8506403;9532471;3198497;3272386;23;0;;
20.07.202014:24:40;10964250;7812548;8506387;9532500;3198462;3272355;24;0;;
20.07.202014:24:41;10964307;7812522;8506294;9532576;3198422;3272300;25;0;;
20.07.202014:24:42;10964387;7812448;8506171;9532688;3198528;3272295;26;0;;
20.07.202014:24:43;10964366;7812398;8506280;9532578;3198489;3272273;27;0;;
20.07.202014:24:44;10964248;7812582;8506681;9532605;3198513;3272287;28;0;;
20.07.202014:24:45;10964319;7812333;8505788;9532709;3198511;3272318;29;0;;
20.07.202014:24:46;10964437;7812292;8505877;9532606;3198478;3272307;30;0;;
20.07.202014:24:47;10964334;7812698;8506998;9532646;3198529;3272240;31;0;;
20.07.202014:24:48;10964295;7812139;8505562;9532803;3198470;3272316;32;0;;
20.07.202014:24:49;10964523;7812336;8506125;9532608;3198494;3272342;33;0;;
20.07.202014:24:50;10964500;7812235;8506126;9532645;3198533;3272324;34;0;;
20.07.202014:24:51;10964317;7812630;8506994;9532631;3198498;3272370;35;0;;
20.07.202014:24:52;10964307;7812274;8505815;9532647;3198449;3272370;36;0;;
20.07.202014:24:53;10964356;7812453;8506499;9532633;3198481;3272373;37;0;;
20.07.202014:24:54;10964451;7812308;8505961;9532643;3198486;3272337;38;0;;
20.07.202014:24:55;10964386;7812455;8506442;9532641;3198549;3272328;39;0;;
20.07.202014:24:56;10964390;7812236;8505951;9532634;3198526;3272304;40;0;;
20.07.202014:24:57;10964432;7812331;8506246;9532663;3198510;3272289;41;0;;
20.07.202014:24:58;10964415;7812344;8506306;9532614;3198539;3272324;42;0;;
20.07.202014:24:59;10964444;7812298;8506272;9532723;3198496;3272400;43;0;;
