20.07.202011:46:35;7581894;4976204;5431303;6675002;3197365;3271397;0;0;;
20.07.202011:46:36;7581969;4976227;5431067;6674904;3197297;3271441;1;0;;
20.07.202011:46:37;7581961;4976255;5431007;6674907;3197337;3271393;2;0;;
20.07.202011:46:38;7581917;4976160;5431127;6674960;3197404;3271485;3;0;;
20.07.202011:46:39;7581924;4976109;5431174;6674986;3197407;3271462;4;0;;
20.07.202011:46:40;7582025;4976170;5431207;6674964;3197447;3271463;5;0;;
20.07.202011:46:41;7582052;4976221;5431097;6675006;3197379;3271435;6;0;;
20.07.202011:46:42;7582042;4976067;5431065;6675006;3197403;3271490;7;0;;
20.07.202011:46:43;7582024;4976147;5431139;6674966;3197378;3271475;8;0;;
20.07.202011:46:44;7581829;4976218;5431244;6674976;3197358;3271445;9;0;;
20.07.202011:46:45;7581940;4976082;5431037;6675122;3197391;3271443;10;0;;
20.07.202011:46:46;7582022;4976053;5431047;6675019;3197360;3271464;11;0;;
20.07.202011:46:47;7582137;4976044;5430957;6675180;3197421;3271509;12;0;;
20.07.202011:46:48;7582016;4976137;5431023;6675097;3197451;3271487;13;0;;
20.07.202011:46:49;7582083;4976146;5431100;6675060;3197441;3271520;14;0;;
20.07.202011:46:50;7582113;4976118;5430963;6674981;3197347;3271495;15;0;;
20.07.202011:46:51;7582005;4975983;5430889;6675143;3197310;3271477;16;0;;
20.07.202011:46:52;7582132;4976100;5430993;6675172;3197309;3271463;17;0;;
20.07.202011:46:53;7582046;4976014;5430914;6675102;3197408;3271402;18;0;;
20.07.202011:46:54;7582107;4975930;5430858;6675218;3197363;3271452;19;0;;
20.07.202011:46:55;7582169;4976021;5430871;6675158;3197401;3271485;20;0;;
20.07.202011:46:56;7582144;4975911;5430871;6675217;3197388;3271493;21;0;;
20.07.202011:46:57;7582143;4975955;5430880;6675162;3197356;3271495;22;0;;
20.07.202011:46:58;7582109;4975968;5430847;6675124;3197393;3271512;23;0;;
20.07.202011:46:59;7582047;4975982;5430868;6675215;3197401;3271470;24;0;;
20.07.202011:47:00;7581952;4976101;5431023;6674959;3197419;3271472;25;0;;
20.07.202011:47:01;7582021;4976051;5430855;6675151;3197311;3271483;26;0;;
20.07.202011:47:02;7582301;4975843;5430795;6675184;3197360;3271434;27;0;;
20.07.202011:47:03;7582240;4975878;5430998;6675412;3197381;3271469;28;0;;
20.07.202011:47:04;7582501;4975466;5430500;6675657;3197367;3271494;29;0;;
20.07.202011:47:05;7582508;4975559;5430488;6675588;3197351;3271470;30;0;;
20.07.202011:47:06;7582581;4975432;5430361;6675703;3197394;3271480;31;0;;
20.07.202011:47:07;7582588;4975488;5430583;6675613;3197405;3271450;32;0;;
20.07.202011:47:08;7582459;4975689;5430681;6675472;3197382;3271457;33;0;;
20.07.202011:47:09;7582415;4975510;5430474;6675595;3197389;3271472;34;0;;
20.07.202011:47:10;7582450;4975521;5430446;6675541;3197382;3271556;35;0;;
20.07.202011:47:11;7582471;4975614;5430592;6675636;3197421;3271485;36;0;;
20.07.202011:47:12;7582537;4975543;5430439;6675611;3197377;3271406;37;0;;
20.07.202011:47:13;7582619;4975585;5430497;6675722;3197389;3271451;38;0;;
20.07.202011:47:14;7582576;4975494;5430399;6675516;3197309;3271477;39;0;;
20.07.202011:47:15;7582572;4975511;5430426;6675582;3197354;3271508;40;0;;
20.07.202011:47:16;7582519;4975596;5430509;6675545;3197411;3271523;41;0;;
20.07.202011:47:17;7582577;4975533;5430052;6675859;3197406;3271489;42;0;;
20.07.202011:47:18;7582573;4975460;5430296;6675700;3197416;3271522;43;0;;
20.07.202011:47:19;7582477;4975659;5430547;6675648;3197428;3271474;44;0;;
20.07.202011:47:20;7582434;4975636;5430636;6675555;3197377;3271482;45;0;;
20.07.202011:47:21;7582489;4975553;5430682;6675606;3197375;3271456;46;0;;
20.07.202011:47:22;7582386;4975519;5430480;6675630;3197406;3271482;47;0;;
20.07.202011:47:23;7582566;4975519;5430498;6675537;3197403;3271486;48;0;;
20.07.202011:47:24;7582549;4975539;5430482;6675557;3197406;3271421;49;0;;
20.07.202011:47:25;7582596;4975515;5430432;6675575;3197370;3271431;50;0;;
20.07.202011:47:26;7582497;4975602;5430614;6675580;3197355;3271421;51;0;;
20.07.202011:47:27;7582435;4975613;5430747;6675596;3197315;3271463;52;0;;
20.07.202011:47:28;7582474;4975537;5430597;6675603;3197359;3271495;53;0;;
20.07.202011:47:29;7582492;4975687;5430602;6675474;3197374;3271542;54;0;;
20.07.202011:47:30;7582364;4975585;5430711;6675544;3197400;3271497;55;0;;
20.07.202011:47:31;7582410;4975644;5430731;6675680;3197436;3271470;56;0;;
20.07.202011:47:32;7582442;4975513;5430399;6675555;3197452;3271444;57;0;;
20.07.202011:47:33;7582567;4975526;5430336;6675435;3197392;3271546;58;0;;
20.07.202011:47:34;7582632;4975550;5430342;6675580;3197361;3271539;59;0;;
20.07.202011:47:35;7582529;4975583;5430406;6675547;3197352;3271526;60;0;;
20.07.202011:47:36;7582419;4975586;5430537;6675575;3197337;3271518;61;0;;
20.07.202011:47:37;7582552;4975608;5430537;6675566;3197339;3271482;62;0;;
20.07.202011:47:38;7582532;4975505;5430339;6675649;3197362;3271439;63;0;;
20.07.202011:47:39;7582485;4975504;5430517;6675557;3197368;3271432;64;0;;
20.07.202011:47:40;7582538;4975559;5430389;6675641;3197383;3271419;65;0;;
20.07.202011:47:41;7582463;4975558;5430482;6675667;3197375;3271484;66;0;;
20.07.202011:47:42;7582431;4975613;5430482;6675671;3197302;3271518;67;0;;
20.07.202011:47:43;7582552;4975571;5430626;6675510;3197336;3271476;68;0;;
20.07.202011:47:44;7582492;4975587;5430572;6675640;3197374;3271496;69;0;;
20.07.202011:47:45;7582499;4975557;5430389;6675686;3197329;3271491;70;0;;
20.07.202011:47:46;7582616;4975515;5430231;6675759;3197384;3271506;71;0;;
20.07.202011:47:47;7582755;4975476;5430105;6675633;3197428;3271410;72;0;;
20.07.202011:47:48;7582624;4975461;5430373;6675559;3197409;3271430;73;0;;
20.07.202011:47:49;7582615;4975484;5430448;6675616;3197386;3271478;74;0;;
20.07.202011:47:50;7582594;4975499;5430437;6675483;3197460;3271467;75;0;;
20.07.202011:47:51;7582488;4975537;5430544;6675692;3197407;3271411;76;0;;
20.07.202011:47:52;7582573;4975551;5430345;6675679;3197365;3271460;77;0;;
20.07.202011:47:53;7582680;4975447;5430223;6675672;3197365;3271505;78;0;;
20.07.202011:47:54;7582638;4975496;5430210;6675694;3197371;3271508;79;0;;
20.07.202011:47:55;7582612;4975564;5430411;6675650;3197400;3271546;80;0;;
20.07.202011:47:56;7582550;4975582;5430358;6675677;3197413;3271489;81;0;;
