20.07.202013:46:39;9255397;6406715;6934261;8144051;3195063;3270967;0;0;;
20.07.202013:46:40;9255511;6406706;6934210;8144180;3195016;3270985;1;0;;
20.07.202013:46:41;9255358;6406728;6934254;8144206;3195063;3270946;2;0;;
20.07.202013:46:42;9255394;6406632;6934044;8144165;3195020;3270957;3;0;;
20.07.202013:46:43;9255404;6406822;6934159;8144207;3195055;3271005;4;0;;
20.07.202013:46:44;9255335;6406794;6934045;8144168;3195095;3270978;5;0;;
20.07.202013:46:45;9255395;6406754;6934123;8144246;3195065;3270968;6;0;;
20.07.202013:46:46;9255449;6406646;6934062;8144141;3195054;3271012;7;0;;
20.07.202013:46:47;9255416;6406743;6934118;8144209;3195067;3271018;8;0;;
20.07.202013:46:48;9255379;6406648;6934075;8144299;3195011;3270985;9;0;;
20.07.202013:46:49;9255462;6406613;6934026;8144301;3195025;3271016;10;0;;
20.07.202013:46:50;9255430;6406644;6934128;8144250;3195014;3270940;11;0;;
20.07.202013:46:51;9255453;6406569;6934103;8144221;3195043;3270916;12;0;;
20.07.202013:46:52;9255414;6406704;6934412;8144316;3194999;3270959;13;0;;
20.07.202013:46:53;9255458;6406647;6933948;8144248;3194988;3270974;14;0;;
20.07.202013:46:54;9255476;6406674;6934306;8144254;3195047;3270916;15;0;;
20.07.202013:46:55;9255495;6406848;6934385;8144177;3195019;3270958;16;0;;
20.07.202013:46:56;9255439;6406698;6934131;8144253;3195032;3270947;17;0;;
20.07.202013:46:57;9255444;6406562;6934264;8144282;3195012;3270945;18;0;;
20.07.202013:46:58;9255417;6406735;6934195;8144255;3195068;3270983;19;0;;
20.07.202013:46:59;9255502;6406655;6933729;8144364;3195077;3270997;20;0;;
20.07.202013:47:00;9255528;6406598;6934064;8144307;3195031;3271059;21;0;;
20.07.202013:47:01;9255507;6406624;6933943;8144272;3195004;3270992;22;0;;
20.07.202013:47:02;9255542;6406512;6933993;8144269;3195043;3270984;23;0;;
20.07.202013:47:03;9255554;6406755;6934248;8144328;3195029;3271028;24;0;;
20.07.202013:47:04;9255466;6406703;6933734;8144271;3195039;3270993;25;0;;
20.07.202013:47:05;9255564;6406565;6933756;8144316;3195002;3271017;26;0;;
20.07.202013:47:06;9255454;6406599;6933918;8144343;3195035;3270945;27;0;;
20.07.202013:47:07;9255513;6406507;6934055;8144432;3195092;3270919;28;0;;
20.07.202013:47:08;9255616;6406607;6934074;8144337;3195100;3270937;29;0;;
20.07.202013:47:09;9255546;6406574;6933743;8144334;3195054;3270976;30;0;;
20.07.202013:47:10;9255478;6406422;6934146;8144438;3195047;3271024;31;0;;
20.07.202013:47:11;9255546;6406722;6934308;8144322;3195049;3270934;32;0;;
20.07.202013:47:12;9255563;6406479;6934052;8144324;3195065;3270942;33;0;;
20.07.202013:47:13;9255542;6406619;6933994;8144282;3195049;3270972;34;0;;
20.07.202013:47:14;9255529;6406631;6933938;8144258;3195029;3270908;35;0;;
20.07.202013:47:15;9255498;6406622;6934109;8144316;3195056;3270929;36;0;;
