27.07.202013:40:20;13198945;10157420;10556906;11951422;4053267;4148116;0;0;;
27.07.202013:40:21;13198778;10157418;10557243;11951606;4044494;4144542;1;0;;
27.07.202013:40:22;13199025;10157385;10557194;11951748;4051839;4151240;2;0;;
27.07.202013:40:23;13199050;10157423;10557384;11951774;4052122;4151883;3;0;;
27.07.202013:40:24;13198930;10157482;10558070;11951975;4043508;4142407;4;0;;
27.07.202013:40:25;13199004;10157623;10557506;11951575;4046577;4146991;5;0;;
27.07.202013:40:26;13199101;10157635;10557385;11951440;4053459;4148616;6;0;;
27.07.202013:40:27;13199148;10157532;10557264;11951474;4050788;4144375;7;0;;
27.07.202013:40:28;13199140;10157688;10556987;11951410;4037253;4132455;8;0;;
27.07.202013:40:29;13199264;10157711;10556893;11951309;4027608;4126316;9;0;;
27.07.202013:40:30;13199277;10157830;10556929;11951189;4027149;4126011;10;0;;
27.07.202013:40:31;13199026;10157671;10556802;11951166;4029594;4130907;11;0;;
27.07.202013:40:32;13199064;10157695;10557018;11951318;4036597;4133916;12;0;;
27.07.202013:40:33;13199050;10157658;10556970;11951252;4031354;4127561;13;0;;
27.07.202013:40:34;13198744;10157723;10557435;11951195;4019403;4117209;14;0;;
27.07.202013:40:35;13198486;10157739;10557510;11951067;4028915;4128684;15;0;;
27.07.202013:40:36;13198677;10157601;10557175;11951258;4053831;4157043;16;0;;
27.07.202013:40:37;13199054;10157568;10557215;11951254;4073339;4178148;17;0;;
27.07.202013:40:38;13199001;10157566;10556896;11951122;4065612;4174504;18;0;;
27.07.202013:40:39;13198948;10157887;10557244;11951111;4068625;4169857;19;0;;
27.07.202013:40:40;13198899;10157944;10557764;11951424;4058025;4155541;20;0;;
27.07.202013:40:41;13199179;10157850;10557001;11951271;4045228;4133818;21;0;;
27.07.202013:40:42;13199165;10157679;10557442;11951347;4038615;4130735;22;0;;
27.07.202013:40:43;13198855;10157736;10556981;11951311;4045366;4136815;23;0;;
27.07.202013:40:44;13198807;10157744;10557533;11951167;4054917;4147064;24;0;;
27.07.202013:40:45;13198675;10157733;10557505;11951293;4049213;4141221;25;0;;
27.07.202013:40:46;13198823;10157556;10557248;11951357;4034196;4126357;26;0;;
27.07.202013:40:47;13198783;10157506;10557263;11951470;4022566;4113265;27;0;;
27.07.202013:40:48;13198811;10157719;10556964;11951299;4025044;4121411;28;0;;
27.07.202013:40:49;13198786;10157813;10557409;11951044;4046784;4139153;29;0;;
27.07.202013:40:50;13198782;10157756;10557566;11951210;4063041;4153723;30;0;;
27.07.202013:40:51;13198914;10157585;10557241;11951428;4064780;4144627;31;0;;
27.07.202013:40:52;13199025;10157561;10557152;11951262;4032712;4106915;32;0;;
27.07.202013:40:53;13198866;10157623;10557208;11951304;3988035;4066026;33;0;;
27.07.202013:40:54;13198895;10157691;10557018;11951321;3987605;4084529;34;0;;
27.07.202013:40:55;13199058;10157460;10556783;11951564;4026121;4129402;35;0;;
